ocel:eid,ocel:activity,ocel:timestamp,Actor,ocel:type:ocel:oid
467,merge,2017-04-07 17:39:00,asf github,['request']
468,pull,2017-04-07 17:39:00,asf github,['request']
469,request,2017-04-07 17:39:00,asf github,['request']
470,pull,2017-04-07 17:39:00,asf github,['request']
471,apply,2017-04-07 17:39:00,asf github,['review']
472,patch,2017-04-07 17:39:00,asf github,['change']
473,close,2017-04-07 17:39:00,asf github,['change']
474,pull,2017-04-07 17:39:00,asf github,['request']
475,request,2017-04-07 17:39:00,asf github,['request']
476,make,2017-04-07 17:39:00,asf github,['class']
477,commit,2017-04-07 17:39:00,asf github,['request']
478,commit,2017-04-07 17:39:00,asf github,['request']
479,close,2017-04-07 17:39:00,asf github,['change']
480,commit,2017-04-07 17:39:00,asf github,['request']
481,pull,2017-04-11 14:09:00,asf github,['pull']
482,request,2017-04-11 14:09:00,asf github,['pull']
483,need,2017-04-11 16:20:00,,['flag']
484,set,2017-04-11 16:20:00,,['flag']
485,comment,2017-04-11 16:20:00,,['comment']
486,need,2017-04-11 16:20:00,,['flag']
487,set,2017-04-11 16:20:00,,['flag']
488,need,2017-04-11 16:20:00,,['flag']
489,set,2017-04-11 16:20:00,,['flag']
490,think,2017-04-05 21:06:00,zoran regvart,
491,fix,2017-04-06 05:19:00,,['camel10452']
492,fix,,,['camel10452']
493,use,2017-04-05 21:18:00,zoran regvart,['support']
494,set,2017-04-05 21:18:00,zoran regvart,['bindingmode']
495,set,2017-04-05 21:18:00,zoran regvart,['bindingmode']
496,request,2017-04-05 21:18:00,zoran regvart,['body']
497,fix,2017-04-06 10:05:00,zoran regvart,['resolution']
498,set,2017-04-06 10:05:00,zoran regvart,['intype']
499,need,2017-04-06 10:05:00,zoran regvart,['user']
500,set,2017-04-06 10:05:00,zoran regvart,['intype']
501,fix,,zoran regvart,['resolution']
502,set,,zoran regvart,['intype']
503,need,,zoran regvart,['user']
504,set,,zoran regvart,['intype']
505,fix,2017-04-06 13:05:00,zoran regvart,['resolution']
506,set,2017-04-06 13:05:00,zoran regvart,['queryparameters']
507,affect,2017-04-05 21:35:00,atlassian jira,['component']
508,pull,2017-04-05 21:38:00,asf github,['liop']
509,request,2017-04-05 21:38:00,asf github,['request']
510,fix,2017-04-05 21:38:00,asf github,['request']
511,merge,2017-04-05 21:38:00,asf github,['subjectorbody']
512,pull,2017-04-05 21:38:00,asf github,['liop']
513,request,2017-04-05 21:38:00,asf github,['request']
514,pull,2017-04-05 21:38:00,asf github,['liop']
515,apply,2017-04-05 21:38:00,asf github,['review']
516,patch,2017-04-05 21:38:00,asf github,['change']
517,close,2017-04-05 21:38:00,asf github,['change']
